company,location,perks,posted,request_date,salary,tags,title
VI Company,"
             - 
Rotterdam, Netherlands        ",,6h ago,2018-11-15 13:42:46.951311,€36k - 60k,"c#, .net, asp.net-mvc, sql-server, unit-testing",C# .NET Web developer
KRATZER AUTOMATION AG,"
             - 
Unterschleißheim, Deutschland        ",,6h ago,2018-11-15 13:42:46.951311,,"sql, c#, sql-server, scripting",Application Specialist / Anwendungsbetreuer (m/w) firmeninterne Software-Systeme
Experis AB,"
             - 
Gothenburg, Sweden        ",,6h ago,2018-11-15 13:42:46.951311,,"java, java-ee, sql, jira, data-quality",Java utvecklare till vårt PIM team
Milestone Systems,"
             - 
Copenhagen, Denmark        ",,6h ago,2018-11-15 13:42:46.951311,,"sdk, scrum, c#, .net, visual-studio",Software Developer - To deliver an industry praised SDK for our surveillance
adidas AG,"
             - 
Herzogenaurach, Germany        ","On-site and limited remote, Visa sponsor, Paid relocation",6h ago,2018-11-15 13:42:46.951311,Equity,"devops, docker, kubernetes, golang, container",(Senior) Devops Engineer (m/f) with Kubernetes/Golang
JustRocket,"
             - 
Cluj-Napoca, Rumänien        ",Paid relocation,6h ago,2018-11-15 13:42:46.951311,,"reactjs, java, spring, docker, javascript",(becoming a) FULLSTACK DEVELOPER JAVA/ SPRING/ JAVASCRIPT/ REACT
ThoughtWorks Inc.,"
             - 
Köln, Germany        ",,7h ago,2018-11-15 13:42:46.951311,,"java, scala, python, javascript, tdd",Software Developer (m/f)
Rheinmetall Group,"
             - 
Bremen, Deutschland        ",Paid relocation,7h ago,2018-11-15 13:42:46.966934,,"c++, visual-studio, gis","Softwareentwickler (m/w/d) für Content Creation Tools, C++, visualstudio, gis"
ThoughtWorks Inc.,"
             - 
Hamburg, Germany        ",,7h ago,2018-11-15 13:42:46.966934,,"java, scala, python, javascript, tdd",Senior Software Developer (m/f)
Motius GmbH,"
             - 
München, Deutschland        ","Visa sponsor, Paid relocation",7h ago,2018-11-15 13:42:46.966934,"€70k - 90k

                         | 
Equity","python, javascript, project-management, scrum, django",(Senior) Product Owner & Project Manager
Technische Universität Wien,"
             - 
Wien, Österreich        ",,7h ago,2018-11-15 13:42:46.966934,€36k - 37k,"c++, python, hpc, linux",Administrator_in für HPC-Systeme und parallele Storage Systeme
DroidSolutions GmbH,"
             - 
Leipzig, Deutschland        ",,7h ago,2018-11-15 13:42:46.966934,,"angularjs, node.js, typescript, reactjs, docker",Full-Stack-Entwickler (m/w) mit Herz für JS
XING SE,"
             - 
Porto, Portugal        ",,7h ago,2018-11-15 13:42:46.966934,,"ios, swift, objective-c",Senior iOS Developer (m/f)
Pix4D,"
             - 
Lausanne, Switzerland        ",,7h ago,2018-11-15 13:42:46.966934,,integration,"Integration and release engineer, Lausanne, Switzerland"
HelloFresh,"
             - 
Berlin, Germany        ","Visa sponsor, Paid relocation",7h ago,2018-11-15 13:42:47.435632,,"go, python, ruby, kubernetes, prometheus",Senior Site Reliability Engineer
Dembach Goo Informatik GmbH & Co. KG,"
             - 
Köln, Deutschland        ",,7h ago,2018-11-15 13:42:47.435632,€50k - 80k,"amazon-web-services, linux, cloud, docker, kubernetes, sysadmin",Cloud Operations Specialist (w/m)
Barona IT,"
             - 
Helsinki, Finland        ",,7h ago,2018-11-15 13:42:47.451255,,".net, sql, rest",.NET Developer Iriballe autoalan projektiin
easybill GmbH,"
             - 
Willich, Germany        ",Remote,7h ago,2018-11-15 13:42:47.451255,€42k - 72k,"ruby, ruby-on-rails","Softwareentwickler Ruby/Rails (m/w/d), Remote und/oder Office"
