title,tags,perks,country,location,company,posted,moeda_original,salary_min,salary_max,salary_mean
Back End Engineer,"django, python",Remote,,,O'Reilly Media,2018-11-14 18:42:49.759012,$,23,32,27.5
Global Unite Service Desk Tier 2 Support Associate,3-tier,Visa sponsor,Thailand,Bangkok,UNOPS,2018-11-14 18:42:49.759012,-,0,0,0.0
"Senior Java Engineer - Consult with great companies, technologies and solutions","java, python, .net, c++, ruby",,"Ohio, EUA",Cincinnati,Pinnacle Solutions Group,2018-11-14 18:42:49.759012,$,28,57,42.5
Senior Full Stack Python Developer,"python, javascript, html, django, rest",Paid relocation,"Califórnia, EUA",Sausalito,"Aperio Group, LLC",2018-11-14 18:42:49.759012,-,0,0,0.0
JVM Developer - Best Tech Stack in KC!,"reactjs, java, nosql, rest, docker",,"Missouri, EUA",Kansas City,PayIt,2018-11-14 18:42:49.759012,-,0,0,0.0
Front End UI Software Engineer,"java, python, sql",,"Nova Jersey, EUA",Jersey City,JP Morgan Chase,2018-11-14 18:42:49.759012,-,0,0,0.0
Software Test Engineer,"testing, automated-tests, java, c#, junit",Paid relocation,"Flórida, EUA",Fort Lauderdale,Ultimate Software,2018-11-14 18:42:49.759012,-,0,0,0.0
Senior Backend Engineer - Python,"python, sql, distributed-system, query-planner, web-applications",Visa sponsor,"Califórnia, EUA",Redwood City,Interana,2018-11-14 18:42:49.759012,-,0,0,0.0
Software Developer III (DevOps),"java, python, docker, amazon-web-services, c#",,"Nova Jersey, EUA",Holmdel,iCIMS,2018-11-14 17:42:49.759012,-,0,0,0.0
"Server Side Software Engineer, Apple Media Products (SF office)","server-side, kafka",,"Califórnia, EUA",San Francisco,Apple Inc.,2018-11-14 17:42:49.759012,-,0,0,0.0
"Senior Software Engineering Lead, Video Applications","restful, swift, objective-c, cloudkit",,"Califórnia, EUA",Cupertino,Apple Inc.,2018-11-14 17:42:49.774639,-,0,0,0.0
"Project Controls Analyst, Special Projects",project-management,,"Virgínia, EUA",Ashburn,Facebook,2018-11-14 17:42:49.774639,-,0,0,0.0
Machine Learning Engineer,"java, c++, hadoop",,Israel,Tel Aviv-Yafo,Facebook,2018-11-14 17:42:49.774639,-,0,0,0.0
Digital - Software Engineer Lead,"java, python, sql",,"Delaware, EUA",Wilmington,JP Morgan Chase,2018-11-14 17:42:49.774639,-,0,0,0.0
Java Developer / Software Engineer - Treasury Services,"java, python, sql",,"Nova Jersey, EUA",Jersey City,JP Morgan Chase,2018-11-14 17:42:49.774639,-,0,0,0.0
Front-end Developer for the Food-Value Chain,"angular, cloud, reactjs, typescript, websocket",,Alemanha,Hamburg,BAADER,2018-11-14 17:42:49.774639,€,22,26,24.0
Front End Architect,"javascript, reactjs, node.js",,"Maryland, EUA",Bethesda,Homesnap,2018-11-14 17:42:49.774639,$,37,54,45.5
Software Engineering Manager (Application Support) - Apple Employee Systems,"core, java, j2ee",,"Texas, EUA",Austin,Apple Inc.,2018-11-14 15:42:50.305833,-,0,0,0.0
Test Engineer,"automation, automated-tests, selenium-webdriver",Visa sponsor,"Nova York, EUA",Brooklyn,Amplify,2018-11-14 17:42:50.321456,-,0,0,0.0
Senior Software Engineer,"reactjs, amazon-web-services, java, javascript",Visa sponsor,"Nova York, EUA",Brooklyn,Amplify,2018-11-14 17:42:50.321456,-,0,0,0.0
DevOps Engineer  for the Food-Value Chain,"node.js, java, apache-kafka, cloud, amazon-web-services",,Alemanha,Hamburg,BAADER,2018-11-14 17:42:50.321456,€,22,26,24.0
"Lead Java Engineer - AWS/Azure, Kubernetes, Terraform","java, azure, amazon-web-services, kubernetes, terraform",,Reino Unido,London,Amido,2018-11-14 17:42:50.321456,£,32,39,35.5
Senior Software Engineer (C#),"azure, event-sourcing, ddd, .net, cqrs",,"Nova York, EUA",New York,QuadPay,2018-11-14 17:42:50.321456,-,0,0,0.0
Senior Desktop Support Technician,"http, mobile, cl",,"Califórnia, EUA",San Francisco,"U.S. Court of Appeals, Ninth Circuit",2018-11-14 17:42:50.321456,-,0,0,0.0
PHP Developer,"php, oop, javascript, mysql",Paid relocation,"Illinois, EUA",Roselle,Network Merchants LLC,2018-11-14 17:42:50.321456,-,0,0,0.0
IOS Developer,"ios, objective-c, sdk","Visa sponsor, Paid relocation",Holanda,Amsterdam,Booking.com,2018-11-14 16:42:50.321456,-,0,0,0.0
"Senior Java Engineer - Consult with great companies, technologies and solutions","java, python, .net, c++, ruby",,"Carolina do Norte, EUA",Charlotte,Pinnacle Solutions Group,2018-11-14 16:42:50.321456,$,28,57,42.5
Senior Software Engineer,"ruby, sql, javascript, haskell, typescript",,"Illinois, EUA",Chicago,Future • Finance,2018-11-14 16:42:50.321456,-,0,0,0.0
Java Web Developer,"java, hibernate, spring-mvc, javascript, sql",,"Georgia, EUA",Sandy Springs,Agile Resources,2018-11-14 16:42:50.337080,$,25,30,27.5
Software Engineer,"c#, agile, .net, sql, rest",,"Nova York, EUA",New York,Syntactx Technologies,2018-11-14 16:42:50.337080,-,0,0,0.0
Software Engineering - Java,"java, python, sql",,"Flórida, EUA",Tampa,JP Morgan Chase,2018-11-14 16:42:50.337080,-,0,0,0.0
Data Scientist,"python, r, scikit-learn",On-site and limited remote,"QC, Canada",Montreal,Feedeos Inc,2018-11-14 16:42:50.337080,C$,21,28,24.5
Senior Software Engineer,"swift, objective-c, c#, java, javascript",,"Ohio, EUA",Dayton,Marxent Labs,2018-11-14 16:42:50.337080,-,0,0,0.0
Senior iOS Engineer,"swift, ios, objective-c, xcode, javascript",Remote,,,Brave Software,2018-11-14 16:42:50.344644,-,0,0,0.0
Java Software Developer,"java, spring, java-ee, hibernate, maven",,"Virgínia, EUA",McLean,Federal Hill Consulting,2018-11-14 16:42:50.345645,-,0,0,0.0
Software Engineer: Signal Processing / Machine Learning,"signal-processing, deep-learning, machine-learning, acoustics, numerical-methods",Paid relocation,"Washington, EUA",Washington,Applied Research in Acoustics LLC,2018-11-14 16:42:50.347643,-,0,0,0.0
(Senior) Android Developer (f/m),"android, kotlin, java, rest, sysadmin",Paid relocation,Alemanha,Berlin,mobile.de GmbH,2018-11-14 15:42:50.348643,-,0,0,0.0
Software Engineer (Product Data Pipeline),"cloud, python, bigdata, apache-spark",,"ON, Canada",Toronto,Rubikloud Technologies Inc.,2018-11-14 15:42:50.350641,-,0,0,0.0
Software Engineer (Application Team),"java, reactjs, sql, cloud",,"ON, Canada",Toronto,Rubikloud Technologies Inc.,2018-11-14 15:42:50.351641,-,0,0,0.0
Software Engineering - Java,"java, python, sql",,"Flórida, EUA",Tampa,JP Morgan Chase,2018-11-14 15:42:50.353639,-,0,0,0.0
Software Engineer Java Lead,"java, python, sql",,"Texas, EUA",Houston,JP Morgan Chase,2018-11-14 15:42:50.354639,-,0,0,0.0
"Manager, Software Engineering (API)","c#, .net, asp.net-web-api, asp.net-mvc, rest",Paid relocation,"Califórnia, EUA",San Luis Obispo,MINDBODY Inc.,2018-11-14 15:42:50.356638,$,47,51,49.0
Java Software Engineer,"java, python, sql",,Reino Unido,Glasgow,JP Morgan Chase,2018-11-14 14:42:50.966542,-,0,0,0.0
NLP Specialist,"python, nltk, scikit-learn, keras, tensorflow",Visa sponsor,Reino Unido,London,Sphere,2018-11-14 15:42:50.966542,-,0,0,0.0
Test Automation Engineer,"testing, qa, automation, automated-tests, functional-testing",,França,Paris,PeopleDoc,2018-11-14 15:42:50.966542,-,0,0,0.0
Assets Discipline Developer - Python,"python, c++, maya, nuke, katana","Visa sponsor, Paid relocation",Reino Unido,London,Moving Picture Company,2018-11-14 15:42:50.966542,-,0,0,0.0
Senior QA Engineer,"qa, testing, automation",,"Pensilvânia, EUA",Allentown,"Ideal Concepts, Inc.",2018-11-14 15:42:50.966542,-,0,0,0.0
Solutions Architect,"amazon-web-services, design, node.js",Paid relocation,"Virgínia, EUA",Sterling,Asurion,2018-11-14 15:42:50.966542,$,38,48,43.0
.Net Software Developer,"c#, asp.net, sql-server",,"Pensilvânia, EUA",Allentown,"Ideal Concepts, Inc.",2018-11-14 15:42:50.966542,-,0,0,0.0
